Abandinus | possibly a river-god
Abellio | god of apple trees
Alaunus | god of healing and prophesy
Alisanos | 
Ambisagrus | a god of thunder and lightning
Anextiomarus | a protector god
Atepomarus | a horse god
Arvernus | a tribal god
Arausio | Arausio, a god of water
Barinthus | a god of the sea and water
Belatu-Cadros | a god of war
Belenus | a god of healing.
Borvo | a god of mineral and hot springs
Buxenus | a god of box trees
Camalus | a god of war and sky
Canetonnessis | 
Cernunnos | 
Cicolluis | 
Cimbrianus | 
Cissonius | a god of trade
Mars Cnabetius | a god of war
Cocidius | a god of war
Condatis | a god of the confluences of rivers
Contrebis | a god of a city
Dii Casses | 
Dis Pater | a god of the underworld
Esus | 
Fagus | a god of beech trees
Grannus | a god of healing and mineral springs
Icaunus | a god of a river
Intarabus | 
Iovantucarus | a protector of youth
Lenus | a healing god
Leucetios | a god of thunder
Lugus | creation and learning
Luxovius | a god of a city's water
Maponos | a god of youth
Mogons | 
Moritasgus | a healing badger god
Mullo | 
Nemausus | a god worshipped at Nîmes
Nerius | 
Nodens | a god of healing, the sea, hunting and dogs
Ogmios | 
Robor | a god of oak trees
Rudianos | a god of war
Segomo | a god of war
Smertrios | a god of war
Sucellos | a god of love and time
Taranis | a god of thunder
Toutatis | a tribal god
Veteris | 
Virotutis | 
Visucius | 
Vindonnus | a hunting and healing god
Vinotonus | 
Vosegus | a god of the Vosges Mountains
